Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5439390,MALARIA_EST_MORTALITY,COUNTRY,BFA,AFR,Africa,YEAR,2018,,,,,,,,,81.24 [64.42-104.19],81.23968,64.41831,104.1917,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
5464215,MALARIA_EST_MORTALITY,COUNTRY,NAM,AFR,Africa,YEAR,2003,,,,,,,,,72.67 [72.67-72.67],72.66821,72.66821,72.66821,,2024-12-10T17:44:48Z,2003,2003-01-01,2003-12-31
5472790,MALARIA_EST_MORTALITY,COUNTRY,VUT,WPR,Western Pacific,YEAR,2020,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
5477735,MALARIA_EST_MORTALITY,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
5478147,MALARIA_EST_MORTALITY,COUNTRY,SWZ,AFR,Africa,YEAR,2020,,,,,,,,,0.60 [0.60-0.60],0.59887,0.59887,0.59887,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
5499642,MALARIA_EST_MORTALITY,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2000,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2000,2000-01-01,2000-12-31
5513116,MALARIA_EST_MORTALITY,COUNTRY,ERI,AFR,Africa,YEAR,2008,,,,,,,,,1.31 [0.53-2.45],1.31377,0.53261,2.45,,2024-12-10T17:44:48Z,2008,2008-01-01,2008-12-31
5605018,MALARIA_EST_MORTALITY,COUNTRY,GMB,AFR,Africa,YEAR,2002,,,,,,,,,31.58 [30.41-32.82],31.58187,30.40976,32.8191,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
5618108,MALARIA_EST_MORTALITY,COUNTRY,MRT,AFR,Africa,YEAR,2020,,,,,,,,,11.22 [2.87-26.76],11.21707,2.86948,26.76119,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
5626437,MALARIA_EST_MORTALITY,COUNTRY,ECU,AMR,Americas,YEAR,2023,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
5673943,MALARIA_EST_MORTALITY,REGION,EMR,,,YEAR,2018,,,,,,,,,2.17 [1.24-3.66],2.17305,1.23614,3.66368,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
5679198,MALARIA_EST_MORTALITY,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,1.31 [0.56-2.28],1.31011,0.56361000000000006,2.27693,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
5692319,MALARIA_EST_MORTALITY,COUNTRY,ZAF,AFR,Africa,YEAR,2015,,,,,,,,,1.94,1.93923,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
5713047,MALARIA_EST_MORTALITY,COUNTRY,GNQ,AFR,Africa,YEAR,2000,,,,,,,,,68.96 [64.98-74.65],68.96267,64.98132,74.65032,,2024-12-10T17:44:48Z,2000,2000-01-01,2000-12-31
5713159,MALARIA_EST_MORTALITY,COUNTRY,COD,AFR,Africa,YEAR,2008,,,,,,,,,150.59 [132.18-171.26],150.5886,132.17906,171.26089,,2024-12-10T17:44:48Z,2008,2008-01-01,2008-12-31
5713897,MALARIA_EST_MORTALITY,COUNTRY,ZAF,AFR,Africa,YEAR,2014,,,,,,,,,3.13,3.12979,,,,2024-12-10T17:44:48Z,2014,2014-01-01,2014-12-31
5732716,MALARIA_EST_MORTALITY,REGION,SEAR,,,YEAR,2006,,,,,,,,,2.31 [1.26-3.70],2.31191,1.26033,3.70083,,2024-12-10T17:44:48Z,2006,2006-01-01,2006-12-31
5733284,MALARIA_EST_MORTALITY,COUNTRY,VUT,WPR,Western Pacific,YEAR,2003,,,,,,,,,33.87 [14.45-62.77],33.87365,14.44612,62.76588,,2024-12-10T17:44:48Z,2003,2003-01-01,2003-12-31
5752921,MALARIA_EST_MORTALITY,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2013,2013-01-01,2013-12-31
5760307,MALARIA_EST_MORTALITY,COUNTRY,THA,SEAR,South-East Asia,YEAR,2010,,,,,,,,,0.61 [0.61-0.61],0.61474,0.61474,0.61474,,2024-12-10T17:44:48Z,2010,2010-01-01,2010-12-31
5774810,MALARIA_EST_MORTALITY,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2012,2012-01-01,2012-12-31
